/usr/lib/jvm/java-1.11.0-openjdk-amd64/bin/java -javaagent:/root/IdeaProjects/Agent/target/Agent-jar-with-dependencies.jar -Dlog4j.configuration:/root/IdeaProjects/springboot/src/main/resources/log4j.properties -XX:TieredStopAtLevel=1 -noverify -Dspring.output.ansi.enabled=always -Dcom.sun.management.jmxremote -Dspring.jmx.enabled=true -Dspring.liveBeansView.mbeanDomain -Dspring.application.admin.enabled=true -javaagent:/root/Downloads/idea-IU-192.5728.98/lib/idea_rt.jar=45317:/root/Downloads/idea-IU-192.5728.98/bin -Dfile.encoding=UTF-8 -classpath /root/IdeaProjects/springboot/target/classes:/root/.m2/repository/org/springframework/boot/spring-boot-starter-web/2.2.0.RELEASE/spring-boot-starter-web-2.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/boot/spring-boot-starter/2.2.0.RELEASE/spring-boot-starter-2.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/boot/spring-boot/2.2.0.RELEASE/spring-boot-2.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/boot/spring-boot-autoconfigure/2.2.0.RELEASE/spring-boot-autoconfigure-2.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/boot/spring-boot-starter-logging/2.2.0.RELEASE/spring-boot-starter-logging-2.2.0.RELEASE.jar:/root/.m2/repository/ch/qos/logback/logback-classic/1.2.3/logback-classic-1.2.3.jar:/root/.m2/repository/ch/qos/logback/logback-core/1.2.3/logback-core-1.2.3.jar:/root/.m2/repository/org/apache/logging/log4j/log4j-to-slf4j/2.12.1/log4j-to-slf4j-2.12.1.jar:/root/.m2/repository/org/apache/logging/log4j/log4j-api/2.12.1/log4j-api-2.12.1.jar:/root/.m2/repository/org/slf4j/jul-to-slf4j/1.7.28/jul-to-slf4j-1.7.28.jar:/root/.m2/repository/jakarta/annotation/jakarta.annotation-api/1.3.5/jakarta.annotation-api-1.3.5.jar:/root/.m2/repository/org/yaml/snakeyaml/1.25/snakeyaml-1.25.jar:/root/.m2/repository/org/springframework/boot/spring-boot-starter-json/2.2.0.RELEASE/spring-boot-starter-json-2.2.0.RELEASE.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.10.0/jackson-databind-2.10.0.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.10.0/jackson-annotations-2.10.0.jar:/root/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.10.0/jackson-core-2.10.0.jar:/root/.m2/repository/com/fasterxml/jackson/datatype/jackson-datatype-jdk8/2.10.0/jackson-datatype-jdk8-2.10.0.jar:/root/.m2/repository/com/fasterxml/jackson/datatype/jackson-datatype-jsr310/2.10.0/jackson-datatype-jsr310-2.10.0.jar:/root/.m2/repository/com/fasterxml/jackson/module/jackson-module-parameter-names/2.10.0/jackson-module-parameter-names-2.10.0.jar:/root/.m2/repository/org/springframework/boot/spring-boot-starter-tomcat/2.2.0.RELEASE/spring-boot-starter-tomcat-2.2.0.RELEASE.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/9.0.27/tomcat-embed-core-9.0.27.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/9.0.27/tomcat-embed-el-9.0.27.jar:/root/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/9.0.27/tomcat-embed-websocket-9.0.27.jar:/root/.m2/repository/org/springframework/boot/spring-boot-starter-validation/2.2.0.RELEASE/spring-boot-starter-validation-2.2.0.RELEASE.jar:/root/.m2/repository/jakarta/validation/jakarta.validation-api/2.0.1/jakarta.validation-api-2.0.1.jar:/root/.m2/repository/org/hibernate/validator/hibernate-validator/6.0.17.Final/hibernate-validator-6.0.17.Final.jar:/root/.m2/repository/org/jboss/logging/jboss-logging/3.4.1.Final/jboss-logging-3.4.1.Final.jar:/root/.m2/repository/com/fasterxml/classmate/1.5.0/classmate-1.5.0.jar:/root/.m2/repository/org/springframework/spring-web/5.2.0.RELEASE/spring-web-5.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/spring-beans/5.2.0.RELEASE/spring-beans-5.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/spring-webmvc/5.2.0.RELEASE/spring-webmvc-5.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/spring-aop/5.2.0.RELEASE/spring-aop-5.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/spring-context/5.2.0.RELEASE/spring-context-5.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/spring-expression/5.2.0.RELEASE/spring-expression-5.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/session/spring-session-core/2.2.0.RELEASE/spring-session-core-2.2.0.RELEASE.jar:/root/.m2/repository/org/springframework/spring-jcl/5.2.0.RELEASE/spring-jcl-5.2.0.RELEASE.jar:/root/.m2/repository/org/slf4j/slf4j-api/1.7.28/slf4j-api-1.7.28.jar:/root/.m2/repository/org/springframework/spring-core/5.2.0.RELEASE/spring-core-5.2.0.RELEASE.jar com.springboot.DemoApplication
file:/root/IdeaProjects/Agent/target/Agent-jar-with-dependencies.jar20:02:20,081  INFO TransformerClass:36 - ClassName: com.intellij.rt.execution.application.AppMainV2$Agent
20:02:20,202  INFO TransformerClass:36 - ClassName: sun.net.NetProperties$1
20:02:20,214  INFO TransformerClass:36 - ClassName: sun.net.spi.DefaultProxySelector$NonProxyInfo
20:02:20,214  INFO TransformerClass:36 - ClassName: sun.net.spi.DefaultProxySelector$4
20:02:20,215  INFO TransformerClass:36 - ClassName: sun.net.NetHooks
20:02:20,215  INFO TransformerClass:36 - ClassName: sun.net.sdp.SdpProvider
20:02:20,215  INFO TransformerClass:36 - ClassName: sun.net.NetHooks$Provider
20:02:20,225  INFO TransformerClass:36 - ClassName: jdk.internal.vm.VMSupport
20:02:20,225  INFO TransformerClass:36 - ClassName: sun.management.jmxremote.ConnectorBootstrap
20:02:20,226  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers
20:02:20,227  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers$1
20:02:20,228  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers$LazyLoggerFactories
20:02:20,228  INFO TransformerClass:36 - ClassName: java.lang.System$LoggerFinder
20:02:20,229  INFO TransformerClass:36 - ClassName: jdk.internal.logger.DefaultLoggerFinder
20:02:20,229  INFO TransformerClass:36 - ClassName: jdk.internal.logger.DefaultLoggerFinder$1
20:02:20,229  INFO TransformerClass:36 - ClassName: java.lang.System$Logger
20:02:20,229  INFO TransformerClass:36 - ClassName: jdk.internal.logger.BootstrapLogger
20:02:20,229  INFO TransformerClass:36 - ClassName: sun.util.logging.PlatformLogger$Bridge
20:02:20,230  INFO TransformerClass:36 - ClassName: sun.util.logging.PlatformLogger$ConfigurableBridge
20:02:20,230  INFO TransformerClass:36 - ClassName: jdk.internal.logger.BootstrapLogger$DetectBackend
20:02:20,230  INFO TransformerClass:36 - ClassName: jdk.internal.logger.BootstrapLogger$DetectBackend$1
20:02:20,230  INFO TransformerClass:36 - ClassName: java.util.Spliterators$ArraySpliterator
20:02:20,230  INFO TransformerClass:36 - ClassName: java.util.Spliterators$1Adapter
20:02:20,231  INFO TransformerClass:36 - ClassName: jdk.internal.loader.URLClassPath$1
20:02:20,232  INFO TransformerClass:36 - ClassName: jdk.internal.loader.BuiltinClassLoader$1
20:02:20,232  INFO TransformerClass:36 - ClassName: java.lang.CompoundEnumeration
20:02:20,232  INFO TransformerClass:36 - ClassName: sun.util.logging.internal.LoggingProviderImpl
20:02:20,233  INFO TransformerClass:36 - ClassName: sun.util.logging.internal.LoggingProviderImpl$LogManagerAccess
20:02:20,233  INFO TransformerClass:36 - ClassName: jdk.internal.logger.BootstrapLogger$LoggingBackend
20:02:20,233  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers$JdkLazyLogger
20:02:20,233  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers$LazyLoggerWrapper
20:02:20,233  INFO TransformerClass:36 - ClassName: jdk.internal.logger.AbstractLoggerWrapper
20:02:20,233  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers$LazyLoggerAccessor
20:02:20,234  INFO TransformerClass:36 - ClassName: jdk.internal.logger.LazyLoggers$LoggerAccessor
20:02:20,234  INFO TransformerClass:36 - ClassName: sun.management.jmxremote.ConnectorBootstrap$PermanentExporter
20:02:20,234  INFO TransformerClass:36 - ClassName: com.sun.jmx.remote.internal.rmi.RMIExporter
20:02:20,237  INFO TransformerClass:36 - ClassName: java.net.Socket$2
20:02:20,237  INFO TransformerClass:36 - ClassName: java.net.SocketInputStream
OpenJDK 64-Bit Server VM warning: Sharing is only supported for boot loader classes because bootstrap classpath has been appended
20:02:20,263  INFO TransformerClass:36 - ClassName: java.util.concurrent.ConcurrentSkipListMap$KeySet
20:02:20,267  INFO TransformerClass:36 - ClassName: java.util.concurrent.ConcurrentSkipListMap$KeyIterator
20:02:20,267  INFO TransformerClass:36 - ClassName: java.util.concurrent.ConcurrentSkipListMap$Iter
20:02:20,268  INFO TransformerClass:36 - ClassName: java.net.InetAddress$NameServiceAddresses
20:02:20,268  INFO TransformerClass:36 - ClassName: java.net.InetAddress$Addresses
20:02:20,268  INFO TransformerClass:36 - ClassName: sun.net.InetAddressCachePolicy
20:02:20,268  INFO TransformerClass:36 - ClassName: sun.net.InetAddressCachePolicy$1
20:02:20,268  INFO TransformerClass:36 - ClassName: java.security.Security
20:02:20,269  INFO TransformerClass:36 - ClassName: java.security.Security$1
20:02:20,271  INFO TransformerClass:36 - ClassName: sun.net.InetAddressCachePolicy$2
20:02:20,272  INFO TransformerClass:36 - ClassName: java.net.InetAddress$CachedAddresses
20:02:20,272  INFO TransformerClass:36 - ClassName: java.lang.invoke.VarHandle$AccessDescriptor
20:02:20,274  INFO TransformerClass:36 - ClassName: java.util.Random
20:02:20,280  INFO TransformerClass:36 - ClassName: sun.nio.cs.US_ASCII$Decoder
20:02:20,282  INFO TransformerClass:36 - ClassName: java.util.concurrent.ThreadLocalRandom
20:02:20,283  INFO TransformerClass:36 - ClassName: java.lang.invoke.VarHandleLongs$FieldInstanceReadOnly
20:02:20,284  INFO TransformerClass:36 - ClassName: java.lang.invoke.VarHandleLongs$FieldInstanceReadWrite
